model,iter,Class,Precision,Recall,F1-score,Fold,Macro-F1,Model,Avg_MacroF1,Fold1,Fold2,Fold3,Fold4,Fold5,AUC,subject_id,y_true,y_pred,Feature Index,Mean |SHAP|
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,77980.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,15545.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,84063.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,15206.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,61379.0,2.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,32438.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,1033.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,62833.0,1.0,2.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,30229.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,90032.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,59706.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,62646.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,84708.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,85195.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,91992.0,0.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,68044.0,0.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,40253.0,2.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,32023.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,73110.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,56279.0,2.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,10630.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,59005.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,69791.0,0.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,63686.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,72999.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,27615.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,27897.0,2.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,96705.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,2620.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,18600.0,0.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,45310.0,2.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,97065.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,22788.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,9063.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,82010.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,56407.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,75420.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,92273.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,28505.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,26140.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,2378.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,28439.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,31547.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,21070.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,57872.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,17896.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,26178.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,59720.0,2.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,9755.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,63058.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,93401.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,87251.0,2.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,5188.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,16439.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,41861.0,2.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,70652.0,2.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,81431.0,2.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,49276.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,26603.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,23264.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,31187.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,51538.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,56853.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,46267.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,17924.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,63439.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,77947.0,2.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,65310.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,63272.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,32039.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,41473.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,93595.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,877.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,91672.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,57109.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,56372.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,94172.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,99334.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,73089.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,27195.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,66280.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,81031.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,72775.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,32725.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,76397.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,92943.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,29416.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,66079.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,62343.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,58514.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,72847.0,2.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,1616.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,85892.0,2.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,45329.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,85597.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,59373.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,46340.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,13634.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,27248.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,48520.0,2.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,20224.0,0.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,97151.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,44589.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,30452.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,84105.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,74711.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,85775.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,28256.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,55646.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,82291.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,11003.0,1.0,2.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,70142.0,2.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,17278.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,60893.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,91448.0,0.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,66264.0,2.0,2.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,26648.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,9206.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,55703.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,23380.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,14933.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,31925.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,2100.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,58337.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,40610.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,26425.0,2.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,24244.0,2.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,51203.0,1.0,2.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,57054.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,12087.0,0.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,26926.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,40967.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,68827.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,27310.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,95218.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,4331.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,57158.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,79178.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,57231.0,2.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,85753.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,58229.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,6543.0,2.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,7339.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,51489.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,30775.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,99023.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,88214.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,67579.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,86148.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,59840.0,2.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,47888.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,32720.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,6922.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,26757.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,56965.0,2.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,41976.0,2.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,99768.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,82960.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,27230.0,0.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,21514.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,75159.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,82436.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,71330.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,42067.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,17667.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,50259.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,32773.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,46228.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,1203.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,71880.0,2.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,26228.0,0.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,40911.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,24745.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,66155.0,2.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,81737.0,2.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,97032.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,45727.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,53609.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,45846.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,90848.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,58312.0,0.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,86026.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,7529.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,78685.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,26925.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,21736.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,28036.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,87879.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,22029.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,59570.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,82770.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,55308.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,53619.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,24164.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,50189.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,64227.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,21318.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,16479.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,43220.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,57877.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,14646.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,10490.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,98229.0,2.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,86754.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,47620.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,50212.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,84854.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,12070.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,84093.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,22486.0,1.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,76739.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,66383.0,0.0,0.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,30566.0,1.0,1.0,,
stacker_preds_iter1.csv,iter1,,,,,,,,,,,,,,,30481.0,0.0,0.0,,
